Geneid	LdNA_IDs	blast_annotation
LDECv5g00001	LdNA_2839	WD repeat and FYVE domain-containing protein 3; Homo sapiens 
LDECv5g00002	LdNA_2840	-
LDECv5g00004	LdNA_2842	Fumarylacetoacetate hydrolase domain-containing protein 2A; Homo sapiens 
LDECv5g00005	LdNA_2844	Coatomer subunit beta; Drosophila melanogaster 
LDECv5g00006	LdNA_2845	Fatty acid synthase; Gallus gallus 
LDECv5g00007	LdNA_2846	Troponin T; Periplaneta americana 
LDECv5g00008	LdNA_2847	Aminopeptidase N; Sus scrofa 
LDECv5g00009	LdNA_2848	Adhesion G-protein coupled receptor G6; Mus musculus 
LDECv5g00010	LdNA_2849	Aminopeptidase N; Rattus norvegicus 
LDECv5g00011	LdNA_2850	-
LDECv5g00012	LdNA_2851	Neurexin-4; Drosophila melanogaster 
LDECv5g00013	LdNA_2852	Valacyclovir hydrolase; Mus musculus 
LDECv5g00014	LdNA_2853	Valacyclovir hydrolase; Mus musculus 
LDECv5g00015	LdNA_2854	T-complex protein 1 subunit alpha; Drosophila melanogaster 
LDECv5g00016	LdNA_2855	Coiled-coil domain-containing protein 112; Homo sapiens 
LDECv5g00017	LdNA_2856	-
LDECv5g00018	LdNA_2857	Large ribosomal subunit protein bL32m; Drosophila melanogaster 
LDECv5g00019	LdNA_2858	All trans-polyprenyl-diphosphate synthase PDSS1; Homo sapiens 
LDECv5g00020	LdNA_2859	-
LDECv5g00022	LdNA_2862	Venom acid phosphatase Acph-1; Apis mellifera 
LDECv5g00023	LdNA_2863	Ankyrin repeat domain-containing protein 12; Homo sapiens 
LDECv5g00024	LdNA_2864	Thiamin pyrophosphokinase 1; Homo sapiens 
LDECv5g00025	LdNA_2867	-
LDECv5g00026	LdNA_2868	-
LDECv5g00027	LdNA_2870	-
LDECv5g00028	LdNA_2873	Sorbin and SH3 domain-containing protein 1; Mus musculus 
LDECv5g00029	LdNA_2874	S-adenosylmethionine synthase; Drosophila melanogaster 
LDECv5g00030	LdNA_2875	-
LDECv5g00031	LdNA_2876	Unextended protein; Drosophila melanogaster 
LDECv5g00032	LdNA_2877	Double-strand-break repair protein rad21 homolog; Bos taurus 
LDECv5g00033	LdNA_2878	ATP-dependent RNA helicase DDX54; Mus musculus 
LDECv5g00035	LdNA_2879	-
LDECv5g00038	LdNA_2881	Programmed cell death protein 2-like; Mus musculus 
LDECv5g00042	LdNA_2880	Peptidyl-prolyl cis-trans isomerase-like 3; Rattus norvegicus 
LDECv5g00044	LdNA_2882	Mitochondrial folate transporter/carrier; Macaca fascicularis 
LDECv5g00045	LdNA_2883	Actin-related protein 10; Mus musculus 
LDECv5g00046	LdNA_2884	Glutamate--cysteine ligase catalytic subunit; Homo sapiens 
LDECv5g00047	LdNA_2885	Protein prenyltransferase alpha subunit repeat-containing protein 1-B (Fragment); Xenopus laevis 
LDECv5g00048	LdNA_2886	Regucalcin; Mus musculus 
LDECv5g00049	LdNA_2887	Regucalcin; Danio rerio 
LDECv5g00050	LdNA_2888	Neuroendocrine convertase 1; Rattus norvegicus 
LDECv5g00051	LdNA_17072	Probable tRNA methyltransferase 9B; Mus musculus 
LDECv5g00053	LdNA_2891	-
LDECv5g00055	LdNA_2892	Protein AF-9; Mus musculus 
LDECv5g00056	LdNA_2893	Phenylalanine--tRNA ligase alpha subunit; Drosophila melanogaster 
LDECv5g00057	LdNA_2894	Chondroitin sulfate synthase 1; Mus musculus 
LDECv5g00058	LdNA_2896	Large ribosomal subunit protein uL1m; Mus musculus 
LDECv5g00059	LdNA_2897	Aryl hydrocarbon receptor; Mus spicilegus 
LDECv5g00060	LdNA_2905	Cyclic nucleotide-gated channel cone photoreceptor subunit alpha; Gallus gallus 
LDECv5g00061	LdNA_2910	Cadherin-99C; Drosophila melanogaster 
LDECv5g00062	LdNA_2912	Large ribosomal subunit protein eL8; Drosophila melanogaster 
LDECv5g00063	LdNA_2913	39 kDa FK506-binding nuclear protein; Drosophila melanogaster 
LDECv5g00065	LdNA_2918	Protein Aster-B; Homo sapiens 
LDECv5g00066	LdNA_2920	Probable phospholipid-transporting ATPase IM; Homo sapiens 
LDECv5g00067	LdNA_2924	Syntaxin-18; Mus musculus 
LDECv5g00068	LdNA_2925	"Glutamate dehydrogenase, mitochondrial; Drosophila melanogaster "
LDECv5g00069	LdNA_2926	"Glutamate dehydrogenase, mitochondrial; Drosophila melanogaster "
LDECv5g00070	LdNA_2927	U-scoloptoxin(01)-Cw1a; Cormocephalus westwoodi 
LDECv5g00071	LdNA_2930	Vitellogenin; Anthonomus grandis 
LDECv5g00072	LdNA_2931	-
LDECv5g00073	LdNA_2932	Serine protease inhibitor 2; Anopheles gambiae 
LDECv5g00074	LdNA_2933	Trypsin-3; Anopheles gambiae 
LDECv5g00075	LdNA_2934	-
LDECv5g00076	LdNA_2941	Luciferin 4-monooxygenase; Photuris pensylvanica 
LDECv5g00077	LdNA_2943	-
