Ldecemlineata	Tcastaneum
LDECv5g11903	TC004286
LDECv5g02580	TC033228
LDECv5g12409	TC014771
LDECv5g02543	TC013816
LDECv5g02547	TC013818
LDECv5g12860	TC008757
LDECv5g06345	TC008770
LDECv5g04173	TC002203
LDECv5g02793	TC015446
LDECv5g07344	TC015902
LDECv5g03367	TC031878
LDECv5g03323	TC004547
LDECv5g03580	TC001431
LDECv5g03386	TC013633
LDECv5g13582	TC012951
LDECv5g10101	TC002471
LDECv5g11124	TC034002
LDECv5g11363	TC034433
LDECv5g01039	TC032479
LDECv5g09674	TC009289
LDECv5g02881	TC033677
LDECv5g09206	TC033804
LDECv5g10846	TC006241
LDECv5g01865	TC031236
LDECv5g02421	TC009701
LDECv5g02979	TC032328
LDECv5g09800	TC003955
LDECv5g08927	TC009958
LDECv5g08928	TC033767
LDECv5g13716	TC033206
LDECv5g02978	TC003099
LDECv5g03552	TC010873
LDECv5g03605	TC031528
LDECv5g05238	TC008198
LDECv5g08684	TC009489
LDECv5g09245	TC008726
LDECv5g14989	TC032251
LDECv5g00730	TC006501
LDECv5g02037	TC031243
LDECv5g02661	TC033262
LDECv5g04084	TC010763
LDECv5g05414	TC008229
LDECv5g05637	TC007410
LDECv5g15364	TC032197
LDECv5g08065	TC031967
LDECv5g11399	TC034259
LDECv5g11568	TC012082
LDECv5g11570	TC034318
LDECv5g12358	TC011073
LDECv5g12444	TC002665
LDECv5g12648	TC013391
LDECv5g15077	TC014769
LDECv5g15440	TC032821
LDECv5g00149	TC001039
LDECv5g00218	TC031721
LDECv5g00436	TC011081
LDECv5g00489	TC000394
LDECv5g11942	TC006956
LDECv5g12819	TC015888
LDECv5g01396	TC034095
LDECv5g01911	TC031838
LDECv5g01731	TC006505
LDECv5g01764	TC001677
LDECv5g02951	TC014808
LDECv5g02375	TC033138
LDECv5g05450	TC002832
LDECv5g02794	TC014708
LDECv5g02883	TC034723
LDECv5g04264	TC001042
LDECv5g03281	TC030617
LDECv5g03320	TC032572
LDECv5g03486	TC034516
LDECv5g03616	TC034217
LDECv5g04043	TC031518
LDECv5g04105	TC001711
LDECv5g04554	TC033471
LDECv5g04696	TC006029
LDECv5g04707	TC033414
LDECv5g04755	TC014442
LDECv5g05159	TC032790
LDECv5g05428	TC007131
LDECv5g05937	TC007131
LDECv5g05790	TC008099
LDECv5g06148	TC000576
LDECv5g06533	TC014217
LDECv5g06585	TC002065
LDECv5g07079	TC033984
LDECv5g07376	TC031212
LDECv5g07708	TC031289
LDECv5g07709	TC031289
LDECv5g08167	TC000995
LDECv5g15619	TC003787
LDECv5g08321	TC032545
LDECv5g08385	TC032496
LDECv5g09648	TC010354
LDECv5g09780	TC032576
LDECv5g09794	TC032655
LDECv5g09863	TC010540
LDECv5g10130	TC010540
LDECv5g10052	TC002582
LDECv5g10128	TC010545
LDECv5g10462	TC008985
LDECv5g10644	TC010195
LDECv5g10661	TC005381
LDECv5g10914	TC006315
LDECv5g10913	TC006316
LDECv5g12561	TC033077
LDECv5g12674	TC033053
LDECv5g13711	TC010422
LDECv5g14316	TC001771
LDECv5g14339	TC010679
LDECv5g15065	TC012918
LDECv5g15102	TC005008
LDECv5g15300	TC007834
LDECv5g15355	TC001141
LDECv5g00023	TC002375
LDECv5g07545	TC002375
LDECv5g00091	TC000618
LDECv5g00138	TC000827
LDECv5g00150	TC002301
LDECv5g14002	TC002299
LDECv5g00216	TC032094
LDECv5g00316	TC001067
LDECv5g00317	TC032158
LDECv5g00320	TC032156
LDECv5g00333	TC004380
LDECv5g00397	TC031456
LDECv5g00514	TC000319
LDECv5g00741	TC015262
LDECv5g12431	TC031718
LDECv5g00803	TC006326
LDECv5g00963	TC002905
LDECv5g00964	TC032686
LDECv5g00981	TC034046
LDECv5g01035	TC030965
LDECv5g01064	TC032394
LDECv5g01128	TC002345
LDECv5g01191	TC031465
LDECv5g01296	TC033055
LDECv5g01405	TC033277
LDECv5g01610	TC034444
LDECv5g01978	TC010972
LDECv5g02128	TC003518
LDECv5g02156	TC001600
LDECv5g03088	TC006800
LDECv5g02335	TC030912
LDECv5g02405	TC015532
LDECv5g02436	TC030588
LDECv5g02437	TC030641
LDECv5g02678	TC031158
LDECv5g02966	TC033240
LDECv5g03014	TC034397
LDECv5g03057	TC034091
LDECv5g03245	TC011548
LDECv5g12488	TC010415
LDECv5g03315	TC001565
LDECv5g03375	TC030879
LDECv5g03405	TC010869
LDECv5g03406	TC001964
LDECv5g03494	TC013590
LDECv5g03502	TC001448
LDECv5g03567	TC001888
LDECv5g03576	TC004715
LDECv5g03700	TC013627
LDECv5g03985	TC010786
LDECv5g03996	TC014226
LDECv5g04133	TC033238
LDECv5g04146	TC033217
LDECv5g04171	TC014275
LDECv5g04273	TC015804
LDECv5g04287	TC034744
LDECv5g04343	TC014788
LDECv5g04504	TC015699
LDECv5g04506	TC033953
LDECv5g04657	TC030900
LDECv5g04837	TC014135
LDECv5g04899	TC001276
LDECv5g04908	TC010404
LDECv5g04948	TC033225
LDECv5g05028	TC004699
LDECv5g07804	TC005329
LDECv5g05071	TC015635
LDECv5g05316	TC007745
LDECv5g05349	TC032825
LDECv5g05367	TC007008
LDECv5g05368	TC008515
LDECv5g13254	TC005250
LDECv5g05592	TC007848
LDECv5g05608	TC007800
LDECv5g05933	TC007136
LDECv5g06019	TC008291
LDECv5g06027	TC032806
LDECv5g06246	TC001252
LDECv5g06264	TC013546
LDECv5g06309	TC032893
LDECv5g06328	TC008273
LDECv5g06375	TC001371
LDECv5g06557	TC004838
LDECv5g12299	TC004872
LDECv5g06617	TC009033
LDECv5g06646	TC011145
LDECv5g06665	TC032883
LDECv5g06747	TC032750
LDECv5g06823	TC007452
LDECv5g06825	TC008048
LDECv5g06832	TC007448
LDECv5g06929	TC014540
LDECv5g06935	TC014539
LDECv5g07062	TC034075
LDECv5g07499	TC009046
LDECv5g09480	TC033771
LDECv5g07529	TC033771
LDECv5g07533	TC009743
LDECv5g07561	TC034462
LDECv5g07639	TC014537
LDECv5g07642	TC031194
LDECv5g07648	TC009766
LDECv5g07741	TC006436
LDECv5g07788	TC034108
LDECv5g07928	TC031075
LDECv5g07942	TC004932
LDECv5g07949	TC030741
LDECv5g08040	TC000797
LDECv5g08064	TC000688
LDECv5g08145	TC001323
LDECv5g08344	TC031052
LDECv5g08534	TC006162
LDECv5g08680	TC015931
LDECv5g08813	TC016380
LDECv5g08982	TC031193
LDECv5g09057	TC009156
LDECv5g12865	TC008935
LDECv5g09186	TC009426
LDECv5g09194	TC014541
LDECv5g09262	TC008993
LDECv5g09404	TC010163
LDECv5g09403	TC010164
LDECv5g09457	TC008921
LDECv5g09462	TC033756
LDECv5g09469	TC008907
LDECv5g09536	TC006994
LDECv5g09587	TC003942
LDECv5g09600	TC003854
LDECv5g09632	TC002636
LDECv5g09703	TC000268
LDECv5g09714	TC003159
LDECv5g09716	TC032313
LDECv5g09721	TC003141
LDECv5g10011	TC032465
LDECv5g10010	TC032464
LDECv5g10032	TC003186
LDECv5g10047	TC031058
LDECv5g10050	TC032574
LDECv5g10058	TC006978
LDECv5g10171	TC034592
LDECv5g10192	TC003405
LDECv5g10202	TC004220
LDECv5g10270	TC032341
LDECv5g10296	TC003024
LDECv5g10309	TC003127
LDECv5g10436	TC033702
LDECv5g10524	TC009584
LDECv5g10632	TC033834
LDECv5g10645	TC031262
LDECv5g10768	TC034097
LDECv5g10821	TC034140
LDECv5g11105	TC015479
LDECv5g11104	TC015478
LDECv5g11107	TC006787
LDECv5g11145	TC002264
LDECv5g11237	TC012665
LDECv5g11286	TC012407
LDECv5g11324	TC011732
LDECv5g11342	TC011738
LDECv5g11356	TC011808
LDECv5g11377	TC012652
LDECv5g11786	TC015608
LDECv5g12221	TC014149
LDECv5g12277	TC031941
LDECv5g12367	TC010434
LDECv5g12383	TC033268
LDECv5g12599	TC013022
LDECv5g12655	TC013394
LDECv5g13025	TC014547
LDECv5g13067	TC009747
LDECv5g13132	TC032377
LDECv5g13323	TC013085
LDECv5g13426	TC031046
LDECv5g13554	TC014794
LDECv5g13682	TC033022
LDECv5g13689	TC031127
LDECv5g13858	TC011986
LDECv5g13953	TC031245
LDECv5g13956	TC034378
LDECv5g13957	TC012518
LDECv5g13968	TC031239
LDECv5g14026	TC033187
LDECv5g14080	TC010381
LDECv5g14086	TC003693
LDECv5g14123	TC012347
LDECv5g14144	TC031061
LDECv5g14255	TC032290
LDECv5g14315	TC034352
LDECv5g14327	TC010675
LDECv5g14697	TC014101
LDECv5g14877	TC031316
LDECv5g14903	TC030950
LDECv5g14936	TC000885
LDECv5g14940	TC000889
LDECv5g14969	TC010230
LDECv5g15114	TC004501
LDECv5g15239	TC032755
LDECv5g15260	TC007647
LDECv5g15296	TC032747
LDECv5g15325	TC001239
LDECv5g15455	TC008303
LDECv5g00012	TC011252
LDECv5g00013	TC000612
LDECv5g00024	TC000932
LDECv5g00027	TC031394
LDECv5g00054	TC032092
LDECv5g00098	TC001356
LDECv5g00105	TC031483
LDECv5g00107	TC000973
LDECv5g00282	TC001327
LDECv5g00351	TC001068
LDECv5g00359	TC001035
LDECv5g00361	TC001142
LDECv5g00367	TC004551
LDECv5g00386	TC000571
LDECv5g00402	TC004356
LDECv5g00438	TC034557
LDECv5g00509	TC004393
LDECv5g00535	TC034900
LDECv5g00590	TC003774
LDECv5g00604	TC004545
LDECv5g00611	TC004549
LDECv5g00634	TC004846
LDECv5g00652	TC010693
LDECv5g00669	TC032189
LDECv5g00682	TC031430
LDECv5g00798	TC005496
LDECv5g00809	TC005477
LDECv5g00834	TC005474
LDECv5g00852	TC015986
LDECv5g00855	TC034036
LDECv5g00892	TC032580
LDECv5g00935	TC005835
LDECv5g00946	TC034037
LDECv5g00960	TC006261
LDECv5g00978	TC005314
LDECv5g01003	TC005539
LDECv5g01010	TC004017
LDECv5g01013	TC010503
LDECv5g01028	TC034995
LDECv5g01032	TC003597
LDECv5g01036	TC030965
LDECv5g01043	TC000104
LDECv5g01102	TC031749
LDECv5g01161	TC014488
LDECv5g01164	TC013504
LDECv5g01190	TC013520
LDECv5g01195	TC033125
LDECv5g01199	TC013495
LDECv5g01309	TC010471
LDECv5g01312	TC012990
LDECv5g01318	TC031931
LDECv5g01320	TC031929
LDECv5g01325	TC014589
LDECv5g01340	TC013325
LDECv5g01362	TC013540
LDECv5g01363	TC013545
LDECv5g01382	TC002403
LDECv5g01412	TC013723
LDECv5g01416	TC010898
LDECv5g01483	TC004088
LDECv5g01501	TC034362
LDECv5g01546	TC034249
LDECv5g01563	TC012424
LDECv5g01564	TC012425
LDECv5g01643	TC012280
LDECv5g01690	TC010974
LDECv5g01756	TC012857
LDECv5g01757	TC001676
LDECv5g01774	TC001941
LDECv5g01775	TC012645
LDECv5g01791	TC030563
LDECv5g01803	TC011963
LDECv5g01837	TC004313
LDECv5g01843	TC011694
LDECv5g01859	TC011980
LDECv5g01906	TC011606
LDECv5g01927	TC012618
LDECv5g01954	TC012258
LDECv5g01979	TC034277
LDECv5g01985	TC034892
LDECv5g01987	TC012544
LDECv5g02047	TC012779
LDECv5g02084	TC002697
LDECv5g02102	TC034432
LDECv5g02193	TC011225
LDECv5g02239	TC014568
LDECv5g02247	TC034612
LDECv5g02271	TC006062
LDECv5g02279	TC015386
LDECv5g02337	TC033134
LDECv5g02349	TC013782
LDECv5g02353	TC013784
LDECv5g02359	TC013786
LDECv5g02395	TC009940
LDECv5g02398	TC033536
LDECv5g02430	TC009828
LDECv5g02559	TC000150
LDECv5g02573	TC003753
LDECv5g02575	TC003752
LDECv5g02624	TC033127
LDECv5g02628	TC031145
LDECv5g02647	TC034613
LDECv5g02653	TC014806
LDECv5g02687	TC004630
LDECv5g02757	TC030577
LDECv5g02760	TC013453
LDECv5g02783	TC014703
LDECv5g02786	TC014705
LDECv5g02871	TC010846
LDECv5g02919	TC008416
LDECv5g02962	TC033242
LDECv5g02994	TC007508
LDECv5g03002	TC031758
LDECv5g03010	TC012585
LDECv5g03150	TC003240
LDECv5g03151	TC003208
LDECv5g03179	TC012576
LDECv5g03239	TC034580
LDECv5g03269	TC012071
LDECv5g03373	TC031481
LDECv5g03389	TC014236
LDECv5g03392	TC010805
LDECv5g03394	TC010799
LDECv5g03407	TC001983
LDECv5g03414	TC001461
LDECv5g03425	TC031499
LDECv5g03431	TC004607
LDECv5g03453	TC005185
LDECv5g03455	TC004128
LDECv5g03497	TC013589
LDECv5g03498	TC034520
LDECv5g03509	TC004719
LDECv5g03511	TC034524
LDECv5g03512	TC031520
LDECv5g03524	TC006846
LDECv5g03532	TC004608
LDECv5g03553	TC031579
LDECv5g03555	TC010853
LDECv5g03559	TC031486
LDECv5g03574	TC010848
LDECv5g03589	TC004641
LDECv5g03591	TC034515
LDECv5g03594	TC001887
LDECv5g03608	TC004129
LDECv5g03647	TC014200
LDECv5g03679	TC034531
LDECv5g03754	TC005178
LDECv5g03763	TC013650
LDECv5g03768	TC005184
LDECv5g03785	TC031466
LDECv5g03810	TC005182
LDECv5g03816	TC004638
LDECv5g03864	TC004706
