phase	dm_orth	Geneid
G2/M	FBgn0000063	LdNA_7467
G2/M	FBgn0000147	LdNA_19878
G2/M	FBgn0001086	LdNA_31696
G2/M	FBgn0003041	LdNA_7177
G2/M	FBgn0003525	LdNA_13555
G2/M	FBgn0003525	LdNA_25533
G2/M	FBgn0003525	LdNA_25529
G2/M	FBgn0003525	LdNA_25532
G2/M	FBgn0003525	LdNA_25531
G2/M	FBgn0003525	LdNA_25526
G2/M	FBgn0003525	LdNA_25527
G2/M	FBgn0003525	LdNA_25528
G2/M	FBgn0003525	LdNA_13554
G2/M	FBgn0003545	LdNA_16610
G2/M	FBgn0004106	LdNA_6685
G2/M	FBgn0004378	LdNA_4779
G2/M	FBgn0011692	LdNA_4801
G2/M	FBgn0027948	LdNA_34199
G2/M	FBgn0027948	LdNA_34202
G2/M	FBgn0027948	LdNA_34200
G2/M	FBgn0029881	LdNA_11092
G2/M	FBgn0030082	LdNA_7418
G2/M	FBgn0030082	LdNA_7419
G2/M	FBgn0031696	LdNA_31258
G2/M	FBgn0033845	LdNA_19351
G2/M	FBgn0035769	LdNA_29314
G2/M	FBgn0037613	LdNA_17471
G2/M	FBgn0039680	LdNA_27812
G2/M	FBgn0261385	LdNA_6636
G2/M	FBgn0264291	LdNA_19438
G2/M	FBgn0264848	LdNA_23840
G2/M	FBgn0278608	LdNA_8147
G2/M	FBgn0284220	LdNA_21186
S	FBgn0002906	LdNA_23948
S	FBgn0002906	LdNA_23925
S	FBgn0003479	LdNA_29959
S	FBgn0005655	LdNA_23591
S	FBgn0011704	LdNA_31157
S	FBgn0011704	LdNA_31156
S	FBgn0011762	LdNA_3629
S	FBgn0013548	LdNA_17586
S	FBgn0013548	LdNA_17585
S	FBgn0014861	LdNA_16668
S	FBgn0015553	LdNA_13780
S	FBgn0015929	LdNA_22389
S	FBgn0017577	LdNA_14875
S	FBgn0024920	LdNA_8419
S	FBgn0025815	LdNA_6710
S	FBgn0025832	LdNA_15055
S	FBgn0025832	LdNA_15270
S	FBgn0026143	LdNA_10915
S	FBgn0028476	LdNA_18060
S	FBgn0032635	LdNA_16241
S	FBgn0032698	LdNA_22892
S	FBgn0033526	LdNA_18543
S	FBgn0034495	LdNA_19687
S	FBgn0034495	LdNA_19662
S	FBgn0035918	LdNA_10827
S	FBgn0035918	LdNA_33843
S	FBgn0035918	LdNA_10828
S	FBgn0041186	LdNA_4677
S	FBgn0259113	LdNA_25714
S	FBgn0260985	LdNA_1103
S	FBgn0261976	LdNA_30755
