Ldecemlineata	Dmelanogaster
LDECv5g14989	FBgn0264908
LDECv5g08590	FBgn0003654
LDECv5g07960	FBgn0001217
LDECv5g06801	FBgn0001216
LDECv5g03386	FBgn0032151
LDECv5g11776	FBgn0013733
LDECv5g11124	FBgn0264695
LDECv5g13734	FBgn0028983
LDECv5g11429	FBgn0011224
LDECv5g12561	FBgn0284408
LDECv5g06019	FBgn0010473
LDECv5g15152	FBgn0003429
LDECv5g10063	FBgn0003435
LDECv5g10505	FBgn0261552
LDECv5g10972	FBgn0085446
LDECv5g15377	FBgn0031016
LDECv5g00674	FBgn0263111
LDECv5g10050	FBgn0011747
LDECv5g12277	FBgn0264001
LDECv5g05898	FBgn0085437
LDECv5g09955	FBgn0264574
LDECv5g00682	FBgn0004838
LDECv5g08684	FBgn0034789
LDECv5g10111	FBgn0035397
LDECv5g12221	FBgn0265487
LDECv5g13116	FBgn0020621
LDECv5g00064	FBgn0003721
LDECv5g13536	FBgn0030054
LDECv5g04901	FBgn0260794
LDECv5g06081	FBgn0053113
LDECv5g10643	FBgn0002921
LDECv5g11490	FBgn0033987
LDECv5g11561	FBgn0000114
LDECv5g15065	FBgn0046704
LDECv5g03715	FBgn0004907
LDECv5g04279	FBgn0000179
LDECv5g05915	FBgn0261873
LDECv5g15162	FBgn0026086
LDECv5g15322	FBgn0032036
LDECv5g00091	FBgn0039227
LDECv5g02037	FBgn0020503
LDECv5g03918	FBgn0026620
LDECv5g09427	FBgn0003612
LDECv5g09587	FBgn0265778
LDECv5g10039	FBgn0264607
LDECv5g10259	FBgn0029768
LDECv5g10554	FBgn0260442
LDECv5g10581	FBgn0020440
LDECv5g11625	FBgn0013749
LDECv5g11465	FBgn0010348
LDECv5g13378	FBgn0260635
LDECv5g04146	FBgn0264357
LDECv5g04353	FBgn0051716
LDECv5g07791	FBgn0030328
LDECv5g08065	FBgn0028671
LDECv5g09464	FBgn0000448
LDECv5g09541	FBgn0035357
LDECv5g09759	FBgn0011286
LDECv5g10032	FBgn0024187
LDECv5g10128	FBgn0024806
LDECv5g11251	FBgn0263006
LDECv5g11428	FBgn0283657
LDECv5g14940	FBgn0000015
LDECv5g00145	FBgn0259222
LDECv5g00386	FBgn0053080
