Geneid	Uniprot_annotation	Interproscan_annotation	GO_term	KEGG_annotation
LDECv5g00001	WD repeat and FYVE domain-containing protein 3; Homo sapiens	Zinc finger FYVE/FYVE-related type profile.|Zinc finger, FYVE-related|Zinc/RING finger domain, C3HC4 (zinc finger)|Zinc finger, RING/FYVE/PHD-type|fyve_4|FYVE zinc finger|FYVE zinc finger|FYVE/PHD zinc finger|Zinc finger, FYVE/PHD-type	GO:0046872, GO:0005488, GO:0065007, GO:0008150, GO:0043169, GO:0043167, GO:0043227, GO:0005575, GO:0050789, GO:0040011, GO:0005634, GO:0043231, GO:0046914, GO:0031932, GO:0008270, GO:0009987, GO:0008289, GO:0010468, GO:0043229, GO:0030030, GO:0009867	NA
LDECv5g00002	NA	NA	GO:0003674, GO:0050789, GO:0045786	NA
LDECv5g00003	WD repeat and FYVE domain-containing protein 3; Mus musculus	NA	NA	NA
LDECv5g00004	Oxaloacetate tautomerase FAHD2A, mitochondrial; Homo sapiens	Fumarylacetoacetase-like, C-terminal domain superfamily|Fumarylacetoacetate (FAA) hydrolase C-terminal|Fumarylacetoacetase-like, C-terminal|FAH|Fumarylacetoacetase-like, C-terminal domain superfamily	GO:0003824	NA
LDECv5g00005	Coatomer subunit beta; Drosophila melanogaster	Coatomer subunit beta|Adaptin N terminal region|Clathrin/coatomer adaptor, adaptin-like, N-terminal|ARM repeat|Armadillo-type fold|Beta-COP|Coatomer beta subunit (COPB1)|Coatomer beta C-terminal region|Coatomer beta subunit, C-terminal|Armadillo-like helical|Coatomer beta subunit appendage platform|Coatomer beta subunit, appendage platform domain	GO:0006886, GO:0016192, GO:0030117, GO:0005737, GO:0006888, GO:0006891, GO:0030126, GO:0005198, GO:0000139, GO:0048193, GO:0008150, GO:0098588, GO:0051641, GO:0005575, GO:0051234, GO:0051649, GO:0045184, GO:0046907, GO:0051179, GO:0033036, GO:0016020, GO:0098796, GO:0003674, GO:0071705, GO:0031090, GO:0015833, GO:0008104, GO:0015031, GO:0032991, GO:0006810, GO:0030120, GO:0016197, GO:0071840, GO:0005768, GO:0016043, GO:0097708, GO:0016482, GO:0031410, GO:0010008, GO:0042147, GO:0005829, GO:0009987, GO:0032502, GO:0031982, GO:0043227, GO:0043933	K17301
LDECv5g00006	Fatty acid synthase; Gallus gallus	PKS_ER_names_mod|Enoylreductase domain|Polyketide and metazoan fatty acid synthase dehydratase (PKS/mFAS DH) domain profile.|Polyketide synthase, dehydratase domain|Acyl transferase domain in polyketide synthase (PKS) enzymes.|Acyl transferase domain|NAD(P)-binding Rossmann-fold domains|NAD(P)-binding domain superfamily|Zinc-binding dehydrogenase|Beta-ketoacyl synthase, C-terminal domain|Ketosynthase family 3 (KS3) active site signature.|Beta-ketoacyl synthase, active site|Carrier protein (CP) domain profile.|Phosphopantetheine binding ACP domain|Ketosynthase family 3 (KS3) domain profile.|Polyketide synthase, beta-ketoacyl synthase domain|Acyl transferase domain superfamily|Polyketide synthase dehydratase domain|Polyketide synthase, dehydratase domain, N-terminal|alpha/beta hydrolase|Alpha/Beta hydrolase fold|Acyl transferase domain|alpha/beta-Hydrolases|Alpha/Beta hydrolase fold|GroES-like|GroES-like superfamily|Thiolase-like|Fatty acid synthase, pseudo-KR domain|ACP-like|ACP-like superfamily|FabD/lysophospholipase-like|Acyl transferase/acyl hydrolase/lysophospholipase|Polyketide synthase dehydratase|Polyketide synthase, dehydratase domain superfamily|Ketoacyl-synthetase C-terminal extension|Polyketide synthase, C-terminal extension|This enzymatic domain is part of bacterial polyketide synthases and catalyses the first step in the reductive modification of the beta-carbonyl centres in the growing polyketide chain. It uses NADPH to reduce the keto group to a hydroxy group.|Ketoreductase domain|enoyl_red|Beta-ketoacyl synthase, N-terminal domain|Beta-ketoacyl synthase-like, N-terminal domain|Phosphopantetheine attachment site|Phosphopantetheine binding ACP domain|Probable ACP-binding domain of malonyl-CoA ACP transacylase|Malonyl-CoA ACP transacylase, ACP-binding|ACP-like superfamily|KR domain|Polyketide synthase-like, ketoreductase domain|Beta-ketoacyl synthase|Polyketide synthase, beta-ketoacyl synthase domain|PKS|Thioesterase domain|Thioesterase	GO:0016491, GO:0004312, GO:0006633, GO:0004315, GO:0016740, GO:0016746, GO:0009058, GO:0005488, GO:0008150, GO:0003824, GO:0005575, GO:0008152, GO:0003674, GO:0036094, GO:0044281, GO:0019842, GO:0043436, GO:0006082, GO:0019752, GO:0031177, GO:0032787, GO:1901363, GO:0043167, GO:0044238, GO:0019222, GO:0016053, GO:0046394, GO:0044283, GO:0043168, GO:0065009	K00665
LDECv5g00007	Troponin T; Periplaneta americana	Troponin domain superfamily|Troponin T isoform 5|Troponin coil-coiled subunits|Troponin domain superfamily|Troponin	GO:0005523, GO:0005861, GO:0006936, GO:0006937, GO:0045214, GO:0065007, GO:0008150, GO:0009987, GO:0005575, GO:0007010, GO:0006996, GO:0032991, GO:0050789, GO:0051239, GO:0090257, GO:0044057, GO:0019725, GO:0005488, GO:0005737, GO:0016043, GO:0071840, GO:0030029, GO:0005815, GO:0030003	K12046
LDECv5g00008	Aminopeptidase N; Sus scrofa	tricorn interacting facor f3 domain|Aminopeptidase N-like , N-terminal domain superfamliy|Aminopeptidase|Leukotriene A4 hydrolase N-terminal domain|Aminopeptidase N-like , N-terminal domain superfamliy|Peptidase M1 N-terminal domain|Aminopeptidase N-like , N-terminal domain|Aminopeptidase N-like protein|Neutral Protease Domain 2|Peptidase M4/M1, CTD superfamily|Peptidase family M1 domain|Peptidase M1, membrane alanine aminopeptidase|Puromycin-sensitive aminopeptidase|M1_APN-Q_like|Aminopeptidase N-type|Metalloproteases ("zincins"), catalytic domain|Membrane alanyl dipeptidase (M1) family signature|Peptidase M1, alanine aminopeptidase/leukotriene A4 hydrolase|ERAP1-like C-terminal domain	GO:0008237, GO:0008270, GO:0005737, GO:0006508, GO:0016020, GO:0042277, GO:0043171, GO:0070006, GO:0004177, GO:0005488, GO:0008150, GO:0003824, GO:0140096, GO:0043169, GO:0009987, GO:0005575, GO:0008238, GO:0016787, GO:0043167, GO:0008152, GO:0046872, GO:0003674, GO:0008233, GO:0006518, GO:0009056, GO:0031984, GO:0065007, GO:0005789, GO:0043226, GO:0043170, GO:0044238, GO:0043229	K11140
LDECv5g00009	Adhesion G-protein coupled receptor G6; Mus musculus	G-protein coupled receptors family 2 profile 2.|GPCR, family 2-like, 7TM|GPCR proteolysis site, GPS, motif|GPS motif|Family A G protein-coupled receptor-like|7 transmembrane receptor (Secretin family)|GPCR, family 2, secretin-like|GAIN domain superfamily|7tmB2_Adhesion	GO:0004888, GO:0007166, GO:0016020, GO:0004930, GO:0007186, GO:0005488, GO:0008150, GO:0009987, GO:0005575, GO:0003674, GO:0007165, GO:0038023, GO:0005886, GO:0032501, GO:0060089, GO:0050794, GO:0050789, GO:0032502, GO:0043170	NA
LDECv5g00010	Aminopeptidase N; Rattus norvegicus	Peptidase family M1 domain|Peptidase M1, membrane alanine aminopeptidase|tricorn interacting facor f3 domain|Aminopeptidase N-like , N-terminal domain superfamliy|Leukotriene A4 hydrolase N-terminal domain|Aminopeptidase N-like , N-terminal domain superfamliy|ERAP1-like C-terminal domain|Aminopeptidase N-like protein|Neutral Protease Domain 2|Peptidase M4/M1, CTD superfamily|Peptidase M1 N-terminal domain|Aminopeptidase N-like , N-terminal domain|Membrane alanyl dipeptidase (M1) family signature|Peptidase M1, alanine aminopeptidase/leukotriene A4 hydrolase|Metalloproteases ("zincins"), catalytic domain|M1_APN-Q_like|Aminopeptidase N-type|Aminopeptidase	GO:0008237, GO:0008270, GO:0005737, GO:0016020, GO:0006508, GO:0005488, GO:0003824, GO:0005575, GO:0016787, GO:0003674, GO:0008150, GO:0008152, GO:0016798, GO:0050896, GO:0030246	NA
